NumPage,NumLot,MarkerNew,LotName,ShopRating,CountReviews,Born(mm/yyyy),ODO km,PriceEur,NetPriceEur,href
2,2,-,Mercedes-Benz GLC 220 d 4Matic*NAVIGATION*PDC*SHZ*ALU*,4.4 ,62,05/2017,123900,28980,24353,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-NAVIGATION-PDC/vhc:car,pgn:2,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/347933720.html"
2,3,-,Mercedes-Benz GLC 220 d 4M Exclusive Navi AHK SHZ Memory,4.3 ,31,10/2017,113441,29525,29525,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4M-Exclusive-Navi-AHK/vhc:car,pgn:2,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/349956960.html"
2,4,-,Mercedes-Benz GLC 220d 4M+Navi+PARKTRONIC+Tempo+Klima+LED+SHZ,4.7 ,305,05/2017,88475,29689,24949,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220d-4M-Navi-PARKTRONIC/vhc:car,pgn:2,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/349497825.html"
2,5,-,Mercedes-Benz GLC 220 d 4Matic Autom Comand Kom.Paket Top,4.8 ,90,10/2017,48560,29800,29800,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-Autom-Comand/vhc:car,pgn:2,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/346230198.html"
2,6,-,Mercedes-Benz GLC 220d Exclusive 4M Navi|Kamera|Sitzhzg,4.1 ,217,08/2017,71511,29870,25101,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220d-Exclusive-4M-Navi/vhc:car,pgn:2,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/347803924.html"
2,7,-,Mercedes-Benz GLC 220 d 4Matic EXCLUSIVE Autom.,4.3 ,96,10/2017,110277,29900,25126,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-EXCLUSIVE/vhc:car,pgn:2,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/350674220.html"
2,8,-,Mercedes-Benz GLC 220 d 4MATIC AMG Interieur,4.8 ,20,06/2017,113000,29900,29900,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4MATIC-AMG-Interieur/vhc:car,pgn:2,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/344707114.html"
2,9,-,Mercedes-Benz GLC 220 d 4Matic*NAVI*LED*AHK*PDC*,3.9 ,11,09/2017,123000,29900,29900,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-NAVI-LED-AHK/vhc:car,pgn:2,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/341977323.html"
2,10,-,Mercedes-Benz GLC 220 d 4M Offroad LED AHK Navi PTS SHZ Chromp,4.3 ,70,11/2017,111556,29990,25202,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4M-Offroad-LED-AHK/vhc:car,pgn:2,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351393006.html"
3,1,-,Mercedes-Benz GLC 220 d 4M / NAVI / LED / Park Assist / KAMERA,4.5 ,48,09/2018,117489,29990,25202,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4M-NAVI-LED-Park/vhc:car,pgn:3,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/350293323.html"
3,2,Новое,Mercedes-Benz Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC P...,0,0,08/2017,117000,29999,29999,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-Mercedes-Benz-GLC-220-d-4Matic/vhc:car,pgn:3,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351893601.html"
3,3,Новое,Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC PANO COMMAND,0,0,08/2017,117000,29999,29999,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-9G-TRONIC-PANO/vhc:car,pgn:3,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351893193.html"
3,4,-,Mercedes-Benz GLC 220 d 4M EXCLUSIVE*ACC*NAVI*AHK*KEYLESS-S,4.1 ,176,01/2018,90000,29999,25209,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4M-EXCLUSIVE-ACC-NAVI/vhc:car,pgn:3,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/350213216.html"
3,5,Новое,Mercedes-Benz GLC 220 d 4Matic LED&Navi&Kamera,4.7 ,24,09/2017,110000,30199,25377,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-LED-Navi/vhc:car,pgn:3,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351831254.html"
3,6,Новое,Mercedes-Benz GLC 220 d 4Matic*9G*1HD*EUR6*COMAND*KAMERA*AHK,4.9 ,173,12/2018,110700,30300,25462,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-9G-1HD-EUR6/vhc:car,pgn:3,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/349455739.html"
3,7,-,Mercedes-Benz GLC 220 d AMG Line 4Matic Burmester|StHz,4.5 ,111,11/2017,124399,30424,25566,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-AMG-Line-4Matic/vhc:car,pgn:3,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/350368247.html"
3,8,-,Mercedes-Benz GLC 220d 4Matic,5 ,45,03/2017,91000,30490,30490,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220d-4Matic,-AHK,-Leder/vhc:car,pgn:3,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/349997067.html"
3,9,-,Mercedes-Benz GLC 220 d 4Matic 9G-Navi ILS KAM AHK,4.3 ,261,09/2017,73154,30789,25873,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-9G-Navi-ILS/vhc:car,pgn:3,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351479040.html"
3,10,-,Mercedes-Benz GLC 220 d 4M Navi Kamera Pano AHK LED Sitzh. PDC,4.4 ,22,08/2017,117279,30790,25874,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4M-Navi-Kamera-Pano/vhc:car,pgn:3,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/340440394.html"
4,1,-,Mercedes-Benz GLC 220 d 4M Spur-P. Kamera Navi HUD AHK LED SHZ,4.6 ,6,10/2018,96100,30880,30880,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4M-Spur-P.-Kamera/vhc:car,pgn:4,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351131268.html"
4,2,-,Mercedes-Benz GLC 220 d 4Matic Exclusive Navi*18*LED*Park*Temp,3.9 ,120,07/2017,77339,30890,25958,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-Exclusive-Navi/vhc:car,pgn:4,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/341056763.html"
4,3,-,Mercedes-Benz GLC 220 d 4Matic LED*18*AHK*STHZG*ACC*Park*Tempo,3.9 ,120,08/2017,77380,30890,30890,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-LED-18-AHK/vhc:car,pgn:4,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/333045558.html"
4,4,-,Mercedes-Benz GLC 220 d 4M Exclusive+LED+Navi+PDC,4.8 ,14,10/2017,25000,30899,30899,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4M-Exclusive-LED-Navi/vhc:car,pgn:4,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351413311.html"
4,5,-,Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC (Navi,0,0,06/2017,80000,30900,30900,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-9G-TRONIC/vhc:car,pgn:4,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/350949574.html"
4,6,-,Mercedes-Benz MERCEDES-BENZ GLC 220 d 4Matic Business         ,0,0,05/2018,95000,30900,30900,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-MERCEDES-BENZ-GLC-220-d-4Matic/vhc:car,pgn:4,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/348255827.html"
4,7,-,Mercedes-Benz GLC 220 d 4M Exclusive 9G AHK Distr LED Navi Kam,4.6 ,34,05/2018,115000,30920,25983,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4M-Exclusive-9G-AHK/vhc:car,pgn:4,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/347870117.html"
4,8,-,Mercedes-Benz GLC 220 d 4M Exclusive/Navi/LED/AHK/Totwinkel BC,4.6 ,50,07/2017,123500,30950,26008,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4M-Exclusive-Navi-LED/vhc:car,pgn:4,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/350337670.html"
4,9,Новое,Mercedes-Benz GLC 220 d 4M Exclusive Leder Navi LED Distronic+,4.1 ,490,07/2018,104074,30980,26034,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4M-Exclusive-Leder/vhc:car,pgn:4,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351868154.html"
4,10,Новое,Mercedes-Benz GLC 220 d 4M *1Hd*360Kam*SHZ*Nav*PDC*Keyless*,5 ,13,05/2017,32500,30999,30999,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4M-1Hd-360Kam-SHZ-Nav/vhc:car,pgn:4,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351835410.html"
5,1,-,Mercedes-Benz GLC 220 d 4Matic Navi Automatik PDC Klima,4.8 ,19,12/2017,84370,30999,26050,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-Navi-Automatik/vhc:car,pgn:5,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351285057.html"
5,2,-,Mercedes-Benz GLC 220d DPF 9G-TRONIC 4MATIC * EXCLUSIVE EXTERI,4.1 ,45,07/2017,90600,31390,26378,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220d-DPF-9G-TRONIC-4MATIC/vhc:car,pgn:5,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/346565290.html"
5,3,-,Mercedes-Benz GLC 220 d 4MATIC EXCLUSIVE Autom. S-H/NAV/AHK/LM,4.8 ,100,08/2017,103200,31490,31490,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4MATIC-EXCLUSIVE/vhc:car,pgn:5,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/350944787.html"
5,4,-,Mercedes-Benz GLC 220  d 4Matic AHK ALU AH NAVI,4.8 ,114,12/2017,84400,31490,31490,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-AHK-ALU-AH/vhc:car,pgn:5,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/349438571.html"
